gid	variance	mutual_info	anova_f	anova_p	fwe_alpha_5e2	fdr_alpha_5e2	fpr_alpha_5e2
ENSG00000134532	0.05749091574115328	0.045461260450867735	15.87298629888536	1.7001838962712836e-07	True	True	True
ENSG00000183395	0.03740490952431118	0.0025153722262920564	4.586209643961969	0.010441648303654922	False	True	True
ENSG00000017427	0.03755432303322757	0.0007870593244858615	4.400438525395113	0.01254917123342463	False	True	True
ENSG00000067715	0.03779578481658765	0.011495441584474353	5.664138618841928	0.0035986359764554453	False	True	True
ENSG00000176915	0.041032066763707534	0.026108918532738334	4.790597840798288	0.00853022878955429	False	True	True
ENSG00000247077	0.04153982028831213	0.02790702800386735	5.090993630779903	0.006338415829195466	False	True	True
ENSG00000139323	0.037429572865038216	0.01898924383898537	4.959833711705113	0.007215816610268779	False	True	True
ENSG00000259075	0.037429572865038216	0.01898924383898537	4.959833711705113	0.007215816610268779	False	True	True
ENSG00000257594	0.037429572865038216	0.01898924383898537	4.959833711705113	0.007215816610268779	False	True	True
ENSG00000070961	0.037429572865038216	0.01898924383898537	4.959833711705113	0.007215816610268779	False	True	True
ENSG00000121361	0.057309658514572995	0.030496521868297544	11.618295434031312	1.0498443965565801e-05	False	True	True
ENSG00000151746	0.041996331373055064	0.05506259761060406	5.98750837431081	0.002615624129669552	False	True	True
ENSG00000018236	0.02693947376723723	0.014218182127280876	3.8852891526560005	0.020903023946710432	False	True	True
ENSG00000110900	0.04099874610886565	0.046153516940909745	5.528752893358492	0.004113207729421082	False	True	True
ENSG00000013573	0.041538480042835925	0.040720650263919245	4.976829407354589	0.0070955908153787235	False	True	True
ENSG00000111796	0.08122370552970747	0.04316871343894668	15.758117429747946	1.8993938674296461e-07	True	True	True
ENSG00000135406	0.029481297462525598	0.015349866883281438	6.59796930349135	0.001433094995443713	False	True	True
ENSG00000123352	0.029570540797095226	0.012705052708171571	6.60274351507853	0.0014263722295998998	False	True	True
ENSG00000111450	0.03834218009960819	0.02609532403974546	5.976068586779524	0.002645303364463589	False	True	True
ENSG00000089163	0.03080773489072636	0.003530692221999976	3.623601844478537	0.027094172663163378	False	True	True
ENSG00000170890	0.03080773489072636	0.003530692221999976	3.623601844478537	0.027094172663163378	False	True	True
ENSG00000135097	0.030476677809190902	0.004934899616406252	3.447052565702308	0.032279421330361255	False	True	True
ENSG00000111786	0.03139565662603648	0.005840001398629502	3.354512366656799	0.03538347184621065	False	False	True
ENSG00000111432	0.03969436389516928	0.02636026352710652	7.020683658338011	0.0009452594106397851	False	True	True
ENSG00000198056	0.03054283254127639	0.016791804373810004	6.647729690063612	0.0013645571872828255	False	True	True
ENSG00000139154	0.06373766345576781	0.04921264268162551	14.669882026167317	5.433725102651758e-07	True	True	True
ENSG00000052126	0.06743216046941235	0.05227539844723328	15.734485934611131	1.9431929087640964e-07	True	True	True
ENSG00000134533	0.07659388432483463	0.04812779146807156	16.785903624483097	7.055211567022198e-08	True	True	True
ENSG00000139289	0.039417565117525005	0.010770542272612538	4.764075343790004	0.008756949251079905	False	True	True
ENSG00000177981	0.032180344985821056	0.012574048462782539	6.7284477503050395	0.0012602961497079953	False	True	True
ENSG00000177875	0.032180344985821056	0.012574048462782539	6.7284477503050395	0.0012602961497079953	False	True	True
ENSG00000167528	0.03181680000027632	0.011978240828101505	6.505855984918821	0.0015692046080299947	False	True	True
