"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000054267"	"ARID4B"	-6.05452972171823	5.99779073739881	-71.7270329468435	0	0	735.750291633649
"ENSG00000054282"	"SDCCAG8"	-4.59332851658721	4.57118764244732	-72.5476206820016	0	0	742.63748516573
"ENSG00000054965"	"FAM168A"	-4.97892444765043	5.03061604201187	-77.1901019205292	0	0	781.336066019516
"ENSG00000055044"	"NOP58"	-7.17099855484087	7.07792370048275	-112.319610264286	0	0	1023.91459515755
"ENSG00000055070"	"SZRD1"	-6.0044219431572	5.93209561336137	-100.048833859337	0	0	947.793262681586
"ENSG00000055130"	"CUL1"	-6.82414532458433	6.70813663405567	-146.251451101182	0	0	1200.41193993949
"ENSG00000055147"	"FAM114A2"	-5.49042915559075	5.52510888336512	-74.6877081088278	0	0	760.798937348757
"ENSG00000055208"	"TAB2"	-6.5327653530416	6.47471253336398	-73.2333009435588	0	0	748.610395965857
"ENSG00000055483"	"USP36"	-6.2776400498439	6.35530649989008	-93.9398702608148	0	0	906.790420862357
"ENSG00000055609"	"KMT2C"	-7.27381254800083	7.25176101680997	-80.1824907328691	0	0	805.349427731266
"ENSG00000055917"	"PUM2"	-7.11702262139415	7.1057101668426	-141.374236876424	0	0	1177.5265688392
"ENSG00000055950"	"MRPL43"	-5.35359014088299	5.33393288376571	-103.064767373598	0	0	967.134075702221
"ENSG00000056097"	"ZFR"	-6.64454378117912	6.6247361723958	-129.002524703981	0	0	1116.13388899782
"ENSG00000056586"	"RC3H2"	-5.70715194710318	5.91698496652462	-88.4316632304365	0	0	867.76373474833
"ENSG00000057608"	"GDI2"	-7.53065366349445	7.46047401113339	-111.501825835377	0	0	1019.0321174659
"ENSG00000057657"	"PRDM1"	-8.57256910919885	8.71428188148001	-79.7730861499411	0	0	802.003055687623
"ENSG00000057663"	"ATG5"	-5.57252431914927	5.53522377360926	-91.535550942187	0	0	889.944794634325
"ENSG00000057757"	"PITHD1"	-5.1026534637759	5.037299396137	-86.9804516160946	0	0	857.016067649956
"ENSG00000058063"	"ATP11B"	-7.91998456772698	7.97375373601629	-89.9391609881176	0	0	878.570436858146
