p_values p_values_bf p_values_BH freq
TDRD10..IGH..ext 0.777786883795167 1 0.838909625154315 2
TEKT4P2..CR392039.3 0.475790960895084 1 0.78073851507856 2
SULF2..IGL...ext 0.777786883795167 1 0.838909625154315 2
CXCR4..IGH..ext 0.777786883795167 1 0.838909625154315 2
DUXAP10..AL512310.1 0.690143659331323 1 0.838909625154315 1
ECM2..IGL...ext 0.777786883795167 1 0.838909625154315 2
DNM2..IGH..ext 0.103500241815707 1 0.653122215595669 2
DNMT3A..DTNB 0.690143659331323 1 0.838909625154315 1
DLEU2..SPRYD7 0.146117935548424 1 0.703332875311723 2
DLX4..IGH..ext 0.777786883795167 1 0.838909625154315 2
DENND2C..CSDE1 0.475790960895084 1 0.78073851507856 2
AC006064.4..IGL..ext 0.777786883795167 1 0.838909625154315 2
ZNF740..IGL..ext 0.777786883795167 1 0.838909625154315 2
IGH..ext..RPL13AP5 0.475790960895084 1 0.78073851507856 2
IGH..ext..RPL3 0.475790960895084 1 0.78073851507856 2
IGH..ext..RPL4 0.690143659331323 1 0.838909625154315 1
IGH..ext..MZB1 0.475790960895084 1 0.78073851507856 2
IGH..ext..FGFR3 0.103500241815707 1 0.653122215595669 2
IGH..ext..GNAS 0.103500241815707 1 0.653122215595669 2
IGH..ext..HSP90B1 0.322238423387682 1 0.78073851507856 1
IGH..ext..ITGB7 0.322238423387682 1 0.78073851507856 1
IGH..ext..EEF1A1P5 0.475790960895084 1 0.78073851507856 2
IGH..ext..EEF1G 0.213954898061235 1 0.75295666048473 2
C2CD4D..IGL...ext 0.475790960895084 1 0.78073851507856 2
IGH..ext..AL450405.1 0.213954898061235 1 0.75295666048473 2
IGH..ext..AC008038.1 0.690143659331323 1 0.838909625154315 1
C4B..IGH..ext 0.146117935548424 1 0.703332875311723 2
ZBTB38..PXYLP1 0.475790960895084 1 0.78073851507856 2
IGHJ2P..NSD2 0.103500241815707 1 0.653122215595669 2
IGH..ext..UBC 0.777786883795167 1 0.838909625154315 2
