"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000101134"	"DOK5"	2.42240848173757	-3.79931106142384	11.0232516274988	3.58277478160906e-26	1.15555921094493e-23	48.462653878707
"ENSG00000168056"	"LTBP3"	-0.894526054589722	6.82092630087879	-10.9620083698147	6.39289260028734e-26	1.96253268854555e-23	47.5781921573776
"ENSG00000143515"	"ATP8B2"	0.62268598218831	8.60572997469212	10.9619795646383	6.39463058866065e-26	1.96253268854555e-23	47.6524195164879
"ENSG00000127955"	"GNAI1"	2.52476946514567	-2.53748882303547	10.9606860757662	6.47316013109554e-26	1.96253268854555e-23	47.9571824424542
"ENSG00000127252"	"PLAAT1"	2.01835080324267	-4.88582984234271	10.9353010823404	8.22355842218184e-26	2.44433180631087e-23	47.5806863215752
"ENSG00000165868"	"HSPA12A"	2.45527371668126	-2.25718156004643	10.9107912895348	1.0357644989352e-25	3.01945269987667e-23	47.5113554733191
"ENSG00000160783"	"PMF1"	0.416800863027306	5.03771994892481	10.9030706158422	1.11376217046885e-25	3.18556995134667e-23	47.078547711037
"ENSG00000145882"	"PCYOX1L"	1.34160733365141	1.62995358402789	10.8567943739557	1.71973155748862e-25	4.82766864443888e-23	47.0448221938857
"ENSG00000138640"	"FAM13A"	-1.08337748450217	6.24122495222774	-10.8522964027886	1.79377971391852e-25	4.9439830333256e-23	46.5680057801129
"ENSG00000196550"	"FAM72A"	0.953000074945815	1.49007174729635	10.8315444977747	2.17855617685694e-25	5.89727376517399e-23	46.8275695193206
"ENSG00000176049"	"JAKMIP2"	2.50983613864064	-3.27637832383115	10.8066671759058	2.7491490158138e-25	7.31128946153008e-23	46.5029766735249
"ENSG00000162669"	"HFM1"	2.21905386566223	-4.05773684115463	10.7731466421167	3.75899783071555e-25	9.82459450272707e-23	46.1561609057758
"ENSG00000254585"	"MAGEL2"	1.9713582400024	-5.48955858531232	10.7532211416559	4.52583884955596e-25	1.16283374780371e-22	45.8912116241813
"ENSG00000156535"	"CD109"	2.11042708956573	0.0971330865076297	10.7429035339152	4.98204214292628e-25	1.25871294741033e-22	46.0323720171047
"ENSG00000151276"	"MAGI1"	2.57644154030678	-1.62426337798739	10.7222059630479	6.03936683991137e-25	1.49484265953709e-22	45.8140330013945
"ENSG00000143294"	"PRCC"	0.466168350056517	6.01358999829695	10.7208863530316	6.11387590812715e-25	1.49484265953709e-22	45.3401874064427
"ENSG00000049323"	"LTBP1"	-1.36984865145493	4.90461615723558	-10.6920387090289	7.99124673188918e-25	1.922846177916e-22	45.2201624237862
"ENSG00000159352"	"PSMD4"	0.47053605006747	6.63731587491471	10.6710227964148	9.70957966765391e-25	2.29980497159321e-22	44.8803747919697
"ENSG00000143374"	"TARS2"	0.469603929166724	4.90095271969971	10.6473126958936	1.20917535251454e-24	2.79414291815999e-22	44.7265224079468
"ENSG00000122859"	"NEUROG3"	1.92888731747299	-4.98875574377649	10.6458965277515	1.22511262545412e-24	2.79414291815999e-22	44.948024251541
"ENSG00000057294"	"PKP2"	2.85472902814688	1.49281487478896	10.6450306210955	1.23495992820581e-24	2.79414291815999e-22	45.0805923079611
"ENSG00000107331"	"ABCA2"	-1.31412173096844	4.35418228371468	-10.5687448839238	2.49560766729774e-24	5.56337009243624e-22	44.1808358494029
"ENSG00000179085"	"DPM3"	0.714452104288536	4.62365866875102	10.5539406164695	2.85947954556257e-24	6.28215223640333e-22	43.8958809677513
"ENSG00000130477"	"UNC13A"	1.80107664795953	-4.5303464405398	10.5120444271339	4.20002593133873e-24	9.04690088163488e-22	43.7759317859059
"ENSG00000129514"	"FOXA1"	2.36282618104684	-4.90794608788645	10.5110805605236	4.23728453457403e-24	9.04690088163488e-22	43.7589364304257
"ENSG00000160714"	"UBE2Q1"	0.356121432051648	6.85140694959836	10.5050274590533	4.47888497340586e-24	9.42991907109158e-22	43.3675316169557
"ENSG00000166682"	"TMPRSS5"	-0.757100416083432	0.504754755616169	-10.4929581622694	5.00216703289645e-24	1.03873767194078e-21	43.7632088954697
"ENSG00000162722"	"TRIM58"	2.20809225786766	-0.798546523610664	10.4567096226513	6.96704254839316e-24	1.4272080809607e-21	43.4340425718016
"ENSG00000198860"	"TSEN15"	0.562654460632322	5.75566683658089	10.4458869723119	7.69025362866658e-24	1.55435406342609e-21	42.8376361824303
"ENSG00000174915"	"PTDSS2"	-0.485917009522113	4.78720844745339	-10.4289384425339	8.97526292675362e-24	1.79021066719287e-21	42.7866925962873
"ENSG00000197355"	"UAP1L1"	-1.33253004282191	4.81128245555176	-10.4034822979003	1.13159937076981e-23	2.22778115084409e-21	42.6136180460809
"ENSG00000206190"	"ATP10A"	2.25113591117018	-3.03873222736891	10.3900948147214	1.27806212528444e-23	2.48386458425472e-21	42.7707666195397
"ENSG00000143621"	"ILF2"	0.419347851047255	7.16402141607188	10.3596345257998	1.68515556059625e-23	3.23357887887071e-21	42.063354725273
"ENSG00000112238"	"PRDM13"	1.78504978661496	-5.023184730021	10.3330715417864	2.14366384185386e-23	4.06197502233283e-21	42.1654299237821
"ENSG00000169894"	"MUC3A"	2.87517047346883	-3.25002510894388	10.3295243434987	2.21360012404151e-23	4.1427116395488e-21	42.2373912789083
"ENSG00000145919"	"BOD1"	-0.396846387857499	4.77711007929159	-10.3265171698133	2.27465933731564e-23	4.20506840175217e-21	41.860575729712
"ENSG00000117724"	"CENPF"	1.27442803216371	3.1325122802414	10.3044260776938	2.77748161236733e-23	5.07275226046704e-21	41.8631338075744
"ENSG00000116852"	"KIF21B"	1.64895820599319	4.97192812246919	10.2972385366138	2.96375544809339e-23	5.34852009971997e-21	41.551344875015
"ENSG00000107242"	"PIP5K1B"	-0.739304120326477	6.40717341818149	-10.2933730053511	3.0690078927942e-23	5.47330478198439e-21	41.4609610146565
"ENSG00000039139"	"DNAH5"	1.90420170119031	-4.54227763192489	10.2750997265292	3.61898531768358e-23	6.37909284078667e-21	41.6831235467992
"ENSG00000215784"	"FAM72D"	1.14288977488952	0.528826783533143	10.2627226402015	4.04598423729692e-23	7.04977874174529e-21	41.7112846816653
"ENSG00000176973"	"FAM89B"	0.563556399659071	5.88515751231052	10.2326326901083	5.30401374032185e-23	9.13589169274663e-21	40.9201166361455
"ENSG00000175137"	"SH3BP5L"	0.542080741783852	4.82432958447522	10.2313861211661	5.36377307641962e-23	9.13589169274663e-21	40.9757534644344
"ENSG00000143228"	"NUF2"	1.13610436394328	1.94317847514866	10.2253096383628	5.66477561062432e-23	9.54137038682823e-21	41.3126782215847
"ENSG00000101349"	"PAK5"	1.63392452030782	-4.1939927365489	10.2117141048674	6.40029236335445e-23	1.06617617512187e-20	41.1433070907776
"ENSG00000143499"	"SMYD2"	0.466190513145873	5.00102704644334	10.2090846889757	6.5531119801058e-23	1.07976765767852e-20	40.7621895973373
"ENSG00000115526"	"CHST10"	2.43471400439626	-1.92055702080781	10.190504925843	7.74114439157603e-23	1.26180653582689e-20	41.0540128225698
"ENSG00000091483"	"FH"	0.535151669512518	5.79273745225345	10.1850853519901	8.12630917826006e-23	1.3104970301409e-20	40.500388612295
"ENSG00000095059"	"DHPS"	-0.40270059171158	6.12007701659151	-10.1661515717713	9.62726701825521e-23	1.53620779715506e-20	40.3302316439841
"ENSG00000134375"	"TIMM17A"	0.462920687826712	6.11568144397904	10.1596892697001	1.02000913469506e-22	1.61065817425442e-20	40.2680807562207
"ENSG00000125459"	"MSTO1"	0.591027826972918	6.14377219110188	10.115226988964	1.51702053675976e-22	2.370774671829e-20	39.8752951491316
"ENSG00000099139"	"PCSK5"	2.09428810835228	-1.35376519933167	10.111624539807	1.56651541515056e-22	2.42314358961912e-20	40.3751902538226
"ENSG00000186468"	"RPS23"	-0.701248310342693	10.1004892719945	-10.1060764107135	1.64589277432561e-22	2.52021096626283e-20	39.9230997811227
"ENSG00000187098"	"MITF"	1.60572761313549	0.845221926020647	10.1037528907078	1.68030908238471e-22	2.54718053798698e-20	40.2977837961958
"ENSG00000118193"	"KIF14"	1.1961725351591	1.3920443834998	10.0950493687693	1.81569128166856e-22	2.72515486522908e-20	40.2042659707136
"ENSG00000152558"	"TMEM123"	-0.824859645085101	7.82156827653931	-10.0442893856333	2.8502849564557e-22	4.23602643675607e-20	39.2717350540716
"ENSG00000140988"	"RPS2"	-0.893466130605413	9.95308452409148	-10.0379144762511	3.0160154856369e-22	4.43881347056018e-20	39.3133766863062
"ENSG00000106665"	"CLIP2"	1.64581689129708	-0.161516825473875	10.0257245738335	3.35997935118511e-22	4.89749297928991e-20	39.6369470369869
"ENSG00000171016"	"PYGO1"	1.74294621339637	-4.78247586826557	10.0220448380025	3.4712583082531e-22	5.0115052090294e-20	39.4737829808529
"ENSG00000177283"	"FZD8"	2.12111320863877	-1.86718516572014	10.0196700144301	3.5450081334118e-22	5.02544930705479e-20	39.5647538027382
"ENSG00000238243"	"OR2W3"	1.65542388081892	-4.71663375379834	10.0195995499423	3.54721997397495e-22	5.02544930705479e-20	39.4545384752337
"ENSG00000204616"	"TRIM31"	1.75082700470333	-2.85326308487835	10.0152135547848	3.68762184426761e-22	5.17598699419007e-20	39.4943019813523
"ENSG00000134371"	"CDC73"	0.446021458006681	5.60875045229023	10.0126983151692	3.77061039790116e-22	5.24391587355814e-20	38.9881371554595
"ENSG00000196754"	"S100A2"	1.67301285348589	-3.90300534809601	9.99936453975868	4.24247750028317e-22	5.84651967516297e-20	39.3179055939545
"ENSG00000125850"	"OVOL2"	1.74561606422619	-5.16253553264907	9.98709085436854	4.72837657403996e-22	6.45742887260106e-20	39.1581148721921
"ENSG00000182150"	"ERCC6L2"	-0.382713023734641	4.68024738477577	-9.98045492888243	5.0136681866821e-22	6.78591036088517e-20	38.8134159308344
"ENSG00000151292"	"CSNK1G3"	-0.576677398766241	6.29973505942395	-9.96384737556306	5.80467784297453e-22	7.78700101076556e-20	38.548918312992
"ENSG00000176402"	"GJC3"	1.45813248959327	-3.04007917817073	9.95829870173143	6.09561382260892e-22	8.10556227516918e-20	38.9942161553989
"ENSG00000044524"	"EPHA3"	2.35612676226299	-3.02174917036309	9.93550415651117	7.45040316308605e-22	9.82092709123665e-20	38.8090687601937
"ENSG00000160752"	"FDPS"	0.37676000493377	6.72073148686506	9.93165197614083	7.70717730719192e-22	1.00718190344588e-19	38.266240928706
"ENSG00000227051"	"C14orf132"	1.67843362585884	-4.41996270080285	9.91209225381878	9.15271728254927e-22	1.18586360073645e-19	38.5480419745548
"ENSG00000134769"	"DTNA"	2.28890063534773	-1.0721445730245	9.90983410377741	9.33602253320182e-22	1.19193905582034e-19	38.6330613342513
"ENSG00000122691"	"TWIST1"	1.91807750810337	-4.60058033617524	9.90958010767304	9.35686705208922e-22	1.19193905582034e-19	38.524254065541
"ENSG00000189013"	"KIR2DL4"	2.1010866651713	-3.42395847847467	9.89993160454639	1.01837970551771e-21	1.28646816299525e-19	38.4897722452758
"ENSG00000143995"	"MEIS1"	2.1624486269845	-0.881072031350765	9.88909858156999	1.1198836089318e-21	1.40300129155348e-19	38.4562805864394
"ENSG00000213213"	"CCDC183"	-0.7902873143426	2.14804818954619	-9.88755563192826	1.13513444426031e-21	1.41045106889688e-19	38.3881649109343
"ENSG00000117262"	"GPR89A"	0.418731936031887	5.4302116389558	9.88600214506955	1.15069745365566e-21	1.41816444715172e-19	37.8923781124922
"ENSG00000162409"	"PRKAA2"	2.00003608587518	-4.44075532566667	9.88275213860288	1.18394394212388e-21	1.44737146924644e-19	38.3034132599187
"ENSG00000143321"	"HDGF"	0.562098162733107	7.27454576032255	9.87691736023317	1.24603896019591e-21	1.51109636780878e-19	37.8075539284965
"ENSG00000117362"	"APH1A"	0.426508964220959	7.23803330111214	9.83787536175411	1.75320216598786e-21	2.10926917731825e-19	37.4662239413804
"ENSG00000125652"	"ALKBH7"	-0.509459733918789	6.09226145330895	-9.83603725773199	1.78157177902356e-21	2.11297130282109e-19	37.4431492465771
"ENSG00000146555"	"SDK1"	2.43113953676411	-3.18766040416839	9.83587121697959	1.78415678317237e-21	2.11297130282109e-19	37.9553579994152
"ENSG00000163995"	"ABLIM2"	1.4756314338893	-2.39277420207016	9.80271192471922	2.38247574017876e-21	2.79968602677286e-19	37.6877796412765
"ENSG00000143436"	"MRPL9"	0.395231929731841	5.48361541488497	9.80062174813664	2.42624592975107e-21	2.82918938839204e-19	37.1516798528338
"ENSG00000173207"	"CKS1B"	0.735253595482709	4.05314998612504	9.79897045781978	2.46138830752518e-21	2.84825842395223e-19	37.2884907491741
"ENSG00000101493"	"ZNF516"	2.06654291986516	-0.35079896318188	9.74898675040481	3.80061345733613e-21	4.36465904543625e-19	37.2581766155794
"ENSG00000174123"	"TLR10"	-1.92961176982378	4.20536869093783	-9.74544192050729	3.9192883649442e-21	4.46710468602926e-19	36.9740775283197
"ENSG00000164647"	"STEAP1"	2.02407186309275	-1.69830415982799	9.74273905809472	4.01223709538797e-21	4.53891806932733e-19	37.1961880125299
"ENSG00000117650"	"NEK2"	1.34712679036071	0.927659171517804	9.70088226419616	5.76444692246658e-21	6.47283339982747e-19	36.826552064413
"ENSG00000197077"	"KIAA1671"	1.82980403597593	-3.08679819441039	9.69847815675861	5.88547061358679e-21	6.5601359581884e-19	36.7899840124809
"ENSG00000198626"	"RYR2"	2.04668718846045	-2.64306015393098	9.68463072448907	6.63320792609282e-21	7.33962036143366e-19	36.6849120345249
"ENSG00000112902"	"SEMA5A"	2.45395445312668	-1.0893710673942	9.67840758972036	6.99920826832913e-21	7.68847812605807e-19	36.661439902029
"ENSG00000163346"	"PBXIP1"	0.809790943185787	7.99517194110013	9.66623141942783	7.77418486769479e-21	8.47833585679031e-19	36.0314033448812
"ENSG00000122203"	"KIAA1191"	-0.357065230769058	6.82472859980691	-9.65708831909784	8.41147790720145e-21	9.10782811394763e-19	35.8988673998852
"ENSG00000067057"	"PFKP"	1.67716061415269	-0.400913373037284	9.64674933819921	9.19467073349736e-21	9.88524919497068e-19	36.3942499638641
"ENSG00000171425"	"ZNF581"	-0.787115632558248	4.35253051327052	-9.64124557150638	9.64063387566575e-21	1.02917161212125e-18	35.9612483618394
"ENSG00000105472"	"CLEC11A"	2.30387903301219	-2.14228087106542	9.63861888671864	9.86096231633272e-21	1.0453309633097e-18	36.314276227373
"ENSG00000198216"	"CACNA1E"	1.55395036905577	-1.92947390273726	9.63420776174164	1.02422523305446e-20	1.0782104380467e-18	36.2747849507427
"ENSG00000177239"	"MAN1B1"	-0.415695182138835	6.8160789922268	-9.62871737653964	1.07372971018151e-20	1.12252887425114e-18	35.6571549751988
"ENSG00000140451"	"PIF1"	-1.15451992088989	4.35019285574059	-9.60279230377727	1.34144773322769e-20	1.39280864301359e-18	35.6739208898612
"ENSG00000122026"	"RPL21"	-0.668384205557956	9.37948760167033	-9.60109074238487	1.3611699204418e-20	1.40367175673314e-18	35.5205053738973
"ENSG00000143155"	"TIPRL"	0.433027766807552	5.09912261247452	9.56533329301439	1.84892877281453e-20	1.89377778831726e-18	35.1693499534707
"ENSG00000142541"	"RPL13A"	-0.712208578604494	11.4314449310297	-9.53032475661336	2.4933434436827e-20	2.53668411159638e-18	35.0194523169285
"ENSG00000187742"	"SECISBP2"	-0.363654256838941	7.4492266531346	-9.52410713834007	2.62910918066557e-20	2.65697773798063e-18	34.7851774134509
"ENSG00000055732"	"MCOLN3"	1.75193637188983	-4.39964020668787	9.51664062303634	2.8018536084982e-20	2.81280124842544e-18	35.2285387433662
"ENSG00000204628"	"RACK1"	-0.634275955064231	10.3735159910431	-9.49825154373073	3.27674022205344e-20	3.25441342773333e-18	34.7006203625696
"ENSG00000168264"	"IRF2BP2"	0.720869849461161	7.49227428250177	9.49738525038992	3.30097955258269e-20	3.25441342773333e-18	34.5763471184134
"ENSG00000143450"	"OAZ3"	0.53890581639833	0.579359517143412	9.49720118729538	3.30615256857928e-20	3.25441342773333e-18	35.1306630399204
"ENSG00000167037"	"SGSM1"	1.4890417215059	-4.37625036352912	9.49448081913288	3.3835505160703e-20	3.30911240471675e-18	35.042461660945
"ENSG00000109255"	"NMU"	1.74154074807945	-4.83876948576642	9.4892806904874	3.53652979660389e-20	3.43655481966143e-18	34.9869286915016
